ID,Place (x),Knowledge (y),Action (z),K5Name
3223,-0.813,-0.063,0.500,Ecospirituality
3228,-0.313,-0.625,0.250,Ecospirituality
3230,-0.688,0.000,0.500,Ecospirituality
3243,-0.125,-0.500,0.125,Ecospirituality
3250,-0.563,-0.188,0.375,Ecospirituality
3252,-0.500,-0.188,0.063,Ecospirituality
3254,-0.313,-0.125,0.000,Ecospirituality
3280,-0.063,-0.313,-0.188,Ecospirituality
3281,-0.563,-0.188,0.063,Ecospirituality
3285,-0.375,-0.188,0.063,Ecospirituality
3301,-0.375,-0.250,0.125,Ecospirituality
3303,-0.063,-0.313,-0.125,Ecospirituality
3304,-0.625,0.000,0.125,Ecospirituality
3307,-0.375,-0.063,0.375,Ecospirituality
3309,-0.250,-0.313,0.188,Ecospirituality
3310,-0.250,-0.688,-0.125,Ecospirituality
3316,-0.625,-0.375,0.250,Ecospirituality
3321,-0.688,-0.250,0.188,Ecospirituality
3324,-0.375,-0.250,-0.188,Ecospirituality
3326,-0.625,-0.563,0.313,Ecospirituality
3331,-0.375,-0.250,0.000,Ecospirituality
3333,0.125,-0.250,-0.188,Ecospirituality
3335,0.000,-0.188,-0.063,Ecospirituality
3336,-0.313,-0.375,-0.125,Ecospirituality
3341,-0.750,-0.625,0.563,Ecospirituality
3346,-0.375,-0.438,0.250,Ecospirituality
3348,-0.375,-0.250,0.375,Ecospirituality
3349,-0.375,-0.313,0.000,Ecospirituality
3350,-0.250,-0.188,0.250,Ecospirituality
3366,-0.438,-0.063,0.063,Ecospirituality
3389,-0.188,-0.375,0.000,Ecospirituality
3408,-0.313,-0.125,0.250,Ecospirituality
3438,-0.250,-0.063,0.188,Ecospirituality
3442,-0.250,-0.313,0.063,Ecospirituality
3443,-0.188,-0.125,-0.063,Ecospirituality
3445,-0.438,-0.250,0.313,Ecospirituality
3451,-0.375,0.000,0.063,Ecospirituality
3460,-0.313,-0.250,0.125,Ecospirituality
3470,-0.250,-0.313,-0.188,Ecospirituality
3471,-0.500,-0.188,0.375,Ecospirituality
3485,-0.063,-0.063,0.000,Ecospirituality
3510,-0.188,-0.375,-0.063,Ecospirituality
3513,-0.938,-0.813,0.063,Ecospirituality
