ID,Place (x),Knowledge (y),Action (z),K5Name
3232,-0.063,0.250,0.500,Ecoscience
3251,-0.438,0.875,0.000,Ecoscience
3253,-0.125,0.063,0.188,Ecoscience
3255,-0.313,0.313,0.250,Ecoscience
3258,-0.750,0.125,0.313,Ecoscience
3283,-0.438,0.250,0.000,Ecoscience
3294,-0.500,0.250,0.750,Ecoscience
3297,-0.313,0.438,0.000,Ecoscience
3315,-0.500,0.250,0.125,Ecoscience
3343,-0.125,0.063,0.250,Ecoscience
3355,-0.438,0.313,0.313,Ecoscience
3359,-0.250,0.063,0.125,Ecoscience
3373,-0.188,0.188,0.313,Ecoscience
3388,-0.125,0.313,0.563,Ecoscience
3400,-0.063,0.125,0.063,Ecoscience
3414,-0.313,0.188,0.125,Ecoscience
3434,-0.125,0.750,0.938,Ecoscience
3439,-0.438,0.688,0.375,Ecoscience
3444,-0.188,0.313,-0.125,Ecoscience
3446,-0.125,0.313,0.438,Ecoscience
3465,-0.375,0.125,0.125,Ecoscience
3467,-0.438,0.063,0.000,Ecoscience
3472,-0.313,0.250,0.438,Ecoscience
3473,-0.438,0.375,0.938,Ecoscience
3476,-0.313,0.438,0.313,Ecoscience
3489,-0.063,0.125,-0.063,Ecoscience
3511,-0.375,0.250,0.750,Ecoscience
3512,-0.188,0.188,0.563,Ecoscience
3535,-0.313,0.375,0.813,Ecoscience
3537,-0.375,0.313,-0.250,Ecoscience
3538,-0.375,0.250,0.250,Ecoscience
3539,-0.375,0.188,0.000,Ecoscience
3540,-0.250,0.313,-0.063,Ecoscience
3546,-0.313,0.313,0.500,Ecoscience
3547,-0.500,0.125,0.688,Ecoscience
3549,-0.188,0.313,0.125,Ecoscience
3550,-0.063,0.375,-0.063,Ecoscience
3558,-0.313,0.188,0.500,Ecoscience
3566,-0.375,0.063,0.438,Ecoscience
3578,-0.250,0.563,-0.063,Ecoscience
3579,-0.438,0.250,0.813,Ecoscience
3582,-0.125,0.125,0.313,Ecoscience
3583,-0.188,0.750,0.250,Ecoscience
3594,-0.375,0.063,0.188,Ecoscience
3595,-0.563,0.188,0.250,Ecoscience
3598,-0.063,0.313,0.313,Ecoscience
3599,-0.375,0.125,0.563,Ecoscience
3611,-0.188,0.250,0.688,Ecoscience
3616,-0.063,0.438,0.250,Ecoscience
3624,-0.500,0.063,0.438,Ecoscience
3625,-0.188,0.063,0.063,Ecoscience
3632,-0.438,0.063,0.250,Ecoscience
3641,-0.313,0.313,0.500,Ecoscience
3643,-0.250,0.125,0.500,Ecoscience
3645,-0.063,0.438,-0.375,Ecoscience
3647,-0.938,0.313,0.000,Ecoscience
3655,-0.313,0.125,0.563,Ecoscience
3658,-0.438,0.188,0.188,Ecoscience
3662,-0.125,0.250,0.000,Ecoscience
3663,-0.688,0.625,0.563,Ecoscience
3666,-0.500,0.125,0.313,Ecoscience
3674,-0.313,0.375,0.313,Ecoscience
3690,-0.500,0.250,0.438,Ecoscience
3708,-0.250,0.250,0.563,Ecoscience
3724,-0.250,0.250,0.313,Ecoscience
3731,-0.250,0.313,0.688,Ecoscience
3734,-0.188,0.250,0.500,Ecoscience
3735,-0.563,0.125,0.313,Ecoscience
3739,-0.313,0.375,0.875,Ecoscience
3743,-0.500,0.063,0.313,Ecoscience
3752,-0.563,0.063,0.250,Ecoscience
3759,-0.188,0.188,0.250,Ecoscience
3766,-0.125,0.250,0.063,Ecoscience
3768,-0.438,0.063,0.000,Ecoscience
3770,-0.563,0.063,0.250,Ecoscience
3871,-0.250,0.438,0.375,Ecoscience
3901,-0.063,0.438,0.813,Ecoscience
3921,-0.313,0.188,0.188,Ecoscience
3977,-0.313,0.438,0.500,Ecoscience
3986,-0.563,0.250,0.188,Ecoscience
4025,-0.313,0.500,-0.063,Ecoscience
4040,-0.125,0.313,0.750,Ecoscience
4044,-0.438,0.188,-0.063,Ecoscience
4050,-0.250,0.313,0.750,Ecoscience
4053,-0.438,0.375,0.375,Ecoscience
4060,-0.375,0.188,0.625,Ecoscience
4061,-0.250,0.188,0.000,Ecoscience
4062,-0.313,0.188,0.250,Ecoscience
4069,-0.313,0.188,0.188,Ecoscience
4178,-0.813,0.438,0.438,Ecoscience
4187,-0.188,0.188,-0.125,Ecoscience
4201,-0.063,0.250,0.438,Ecoscience
4210,-0.500,0.250,0.250,Ecoscience
4219,-0.813,0.375,0.500,Ecoscience
4228,-0.750,0.500,0.125,Ecoscience
4231,-0.250,0.188,0.250,Ecoscience
4234,-0.500,0.313,0.750,Ecoscience
4238,-0.375,0.063,0.438,Ecoscience
4250,-0.500,0.188,0.250,Ecoscience
4261,-0.375,0.063,0.188,Ecoscience
4266,-0.688,0.125,0.250,Ecoscience
4330,-0.750,0.063,0.688,Ecoscience
4334,-0.250,0.438,0.813,Ecoscience
4381,-0.563,0.563,0.188,Ecoscience
4387,-0.313,0.250,0.188,Ecoscience
4393,-0.375,0.125,0.438,Ecoscience
4398,-0.625,0.125,0.563,Ecoscience
4418,-0.188,0.125,0.188,Ecoscience
4421,-0.250,0.188,0.063,Ecoscience
4436,-0.313,0.188,0.000,Ecoscience
4437,-0.313,0.063,0.250,Ecoscience
4456,-0.125,0.125,0.188,Ecoscience
4466,-0.125,0.188,0.500,Ecoscience
4485,-0.313,0.188,0.375,Ecoscience
4487,-0.313,0.125,0.125,Ecoscience
4494,-0.563,0.125,0.000,Ecoscience
4495,-0.563,0.188,0.563,Ecoscience
4506,-0.563,0.125,0.563,Ecoscience
4507,-0.188,0.313,0.625,Ecoscience
4603,-0.500,0.125,0.063,Ecoscience
4606,-0.188,0.188,0.313,Ecoscience
4617,-0.500,0.063,0.125,Ecoscience
4666,-0.250,0.625,0.250,Ecoscience
4681,-0.063,0.125,-0.063,Ecoscience
4683,-0.063,0.125,0.063,Ecoscience
4700,-0.375,0.125,0.188,Ecoscience
4730,-0.313,0.250,-0.063,Ecoscience
4746,-0.500,0.063,0.000,Ecoscience
4756,-0.125,0.063,0.125,Ecoscience
4776,-0.063,0.125,0.188,Ecoscience
4789,-0.188,0.063,0.063,Ecoscience
4801,-0.125,0.375,0.125,Ecoscience
4803,-0.250,0.250,-0.188,Ecoscience
4805,-0.063,0.063,0.063,Ecoscience
4807,-0.063,0.125,-0.063,Ecoscience
4810,-0.250,0.438,0.375,Ecoscience
4812,-0.188,0.313,-0.250,Ecoscience
4820,-0.563,0.125,0.313,Ecoscience
4827,-0.438,0.313,0.125,Ecoscience
4828,-0.188,0.563,0.250,Ecoscience
4867,-0.188,0.188,0.000,Ecoscience
4873,-0.313,0.438,0.188,Ecoscience
4878,-0.125,0.250,-0.188,Ecoscience
4881,-0.188,0.375,0.313,Ecoscience
4886,-0.250,0.063,0.250,Ecoscience
4910,-0.125,0.063,0.188,Ecoscience
4916,-0.063,0.250,0.125,Ecoscience
4938,-0.125,0.313,-0.063,Ecoscience
4942,-0.188,0.063,0.313,Ecoscience
4943,-0.313,0.313,0.125,Ecoscience
4947,-0.063,0.375,0.000,Ecoscience
4953,-0.125,0.250,0.313,Ecoscience
4955,-0.188,0.063,0.313,Ecoscience
4956,-0.063,0.313,0.063,Ecoscience
4962,-0.063,0.438,-0.250,Ecoscience
4966,-0.125,0.313,0.563,Ecoscience
4968,-0.188,0.125,0.000,Ecoscience
4995,-0.438,0.125,0.688,Ecoscience
5006,-0.313,0.063,0.000,Ecoscience
5007,-0.063,0.125,0.000,Ecoscience
5014,-0.063,0.125,-0.063,Ecoscience
5027,-0.438,0.625,0.688,Ecoscience
5042,-0.125,0.063,0.125,Ecoscience
3223,-0.813,-0.063,0.500,Ecospirituality
3228,-0.313,-0.625,0.250,Ecospirituality
3230,-0.688,0.000,0.500,Ecospirituality
3243,-0.125,-0.500,0.125,Ecospirituality
3250,-0.563,-0.188,0.375,Ecospirituality
3252,-0.500,-0.188,0.063,Ecospirituality
3254,-0.313,-0.125,0.000,Ecospirituality
3280,-0.063,-0.313,-0.188,Ecospirituality
3281,-0.563,-0.188,0.063,Ecospirituality
3285,-0.375,-0.188,0.063,Ecospirituality
3301,-0.375,-0.250,0.125,Ecospirituality
3303,-0.063,-0.313,-0.125,Ecospirituality
3304,-0.625,0.000,0.125,Ecospirituality
3307,-0.375,-0.063,0.375,Ecospirituality
3309,-0.250,-0.313,0.188,Ecospirituality
3310,-0.250,-0.688,-0.125,Ecospirituality
3316,-0.625,-0.375,0.250,Ecospirituality
3321,-0.688,-0.250,0.188,Ecospirituality
3324,-0.375,-0.250,-0.188,Ecospirituality
3326,-0.625,-0.563,0.313,Ecospirituality
3331,-0.375,-0.250,0.000,Ecospirituality
3333,0.125,-0.250,-0.188,Ecospirituality
3335,0.000,-0.188,-0.063,Ecospirituality
3336,-0.313,-0.375,-0.125,Ecospirituality
3341,-0.750,-0.625,0.563,Ecospirituality
3346,-0.375,-0.438,0.250,Ecospirituality
3348,-0.375,-0.250,0.375,Ecospirituality
3349,-0.375,-0.313,0.000,Ecospirituality
3350,-0.250,-0.188,0.250,Ecospirituality
3366,-0.438,-0.063,0.063,Ecospirituality
3389,-0.188,-0.375,0.000,Ecospirituality
3408,-0.313,-0.125,0.250,Ecospirituality
3438,-0.250,-0.063,0.188,Ecospirituality
3442,-0.250,-0.313,0.063,Ecospirituality
3443,-0.188,-0.125,-0.063,Ecospirituality
3445,-0.438,-0.250,0.313,Ecospirituality
3451,-0.375,0.000,0.063,Ecospirituality
3460,-0.313,-0.250,0.125,Ecospirituality
3470,-0.250,-0.313,-0.188,Ecospirituality
3471,-0.500,-0.188,0.375,Ecospirituality
3485,-0.063,-0.063,0.000,Ecospirituality
3510,-0.188,-0.375,-0.063,Ecospirituality
3513,-0.938,-0.813,0.063,Ecospirituality
3522,-0.313,-0.063,0.000,Ecospirituality
3530,-0.688,-0.125,0.250,Ecospirituality
3533,-0.500,-0.313,0.000,Ecospirituality
3534,-0.688,-0.500,0.125,Ecospirituality
3541,-0.563,-0.750,0.438,Ecospirituality
3542,-0.688,-0.063,0.063,Ecospirituality
3548,-0.563,-0.063,0.563,Ecospirituality
3553,-0.438,-0.250,-0.188,Ecospirituality
3557,-0.625,-0.063,0.625,Ecospirituality
3559,-0.750,-0.563,0.563,Ecospirituality
3560,-0.563,-0.438,0.563,Ecospirituality
3561,-0.313,-0.188,0.250,Ecospirituality
3567,-0.188,-0.063,0.063,Ecospirituality
3568,-0.500,-0.313,0.313,Ecospirituality
3570,-0.438,-0.063,0.000,Ecospirituality
3580,-0.375,-0.375,0.063,Ecospirituality
3593,-0.250,0.000,0.063,Ecospirituality
3596,-0.688,0.000,0.188,Ecospirituality
3606,-0.063,-0.063,0.000,Ecospirituality
3610,-0.375,-0.188,0.313,Ecospirituality
3612,-0.438,-0.250,0.250,Ecospirituality
3636,-0.313,-0.063,0.313,Ecospirituality
3638,-0.625,-0.250,0.250,Ecospirituality
3639,-0.375,-0.125,0.313,Ecospirituality
3646,-0.438,-0.438,0.250,Ecospirituality
3651,-0.375,-0.688,-0.063,Ecospirituality
3652,-0.625,-0.500,0.500,Ecospirituality
3657,-0.625,-0.500,0.063,Ecospirituality
3661,-0.500,-0.063,0.438,Ecospirituality
3664,-0.563,-0.438,0.188,Ecospirituality
3665,-0.313,-0.063,0.313,Ecospirituality
3669,-0.438,-0.438,0.063,Ecospirituality
3673,-0.375,-0.063,0.313,Ecospirituality
3682,-0.438,-0.313,0.375,Ecospirituality
3684,-0.313,-0.688,0.188,Ecospirituality
3702,-0.375,-0.313,-0.188,Ecospirituality
3704,-0.375,-0.188,0.250,Ecospirituality
3713,-0.313,-0.125,-0.063,Ecospirituality
3723,-0.688,-0.125,0.188,Ecospirituality
3738,-0.375,0.000,0.188,Ecospirituality
3742,-0.688,-0.250,0.688,Ecospirituality
3747,-0.688,-0.375,0.250,Ecospirituality
3762,-0.688,-0.125,0.625,Ecospirituality
3769,-1.000,-0.500,0.938,Ecospirituality
3777,0.125,-0.313,-0.125,Ecospirituality
3782,-0.500,-0.063,0.375,Ecospirituality
3785,-0.313,-0.313,0.000,Ecospirituality
3786,-0.063,-0.313,-0.125,Ecospirituality
3787,-0.938,-0.250,0.000,Ecospirituality
